areaCode,areaName,areaType,date,cumCasesBySpecimenDate
K02000001,United Kingdom,overview,2022-03-03,19119181
K02000001,United Kingdom,overview,2022-03-02,19095455
K02000001,United Kingdom,overview,2022-03-01,19051532
K02000001,United Kingdom,overview,2022-02-28,19007654
K02000001,United Kingdom,overview,2022-02-27,18963581
K02000001,United Kingdom,overview,2022-02-26,18932518
K02000001,United Kingdom,overview,2022-02-25,18907772
K02000001,United Kingdom,overview,2022-02-24,18880248
K02000001,United Kingdom,overview,2022-02-23,18850030
K02000001,United Kingdom,overview,2022-02-22,18814011
K02000001,United Kingdom,overview,2022-02-21,18775262
K02000001,United Kingdom,overview,2022-02-20,18730427
K02000001,United Kingdom,overview,2022-02-19,18693004
K02000001,United Kingdom,overview,2022-02-18,18658576
K02000001,United Kingdom,overview,2022-02-17,18625628
K02000001,United Kingdom,overview,2022-02-16,18581274
K02000001,United Kingdom,overview,2022-02-15,18530210
K02000001,United Kingdom,overview,2022-02-14,18478191
K02000001,United Kingdom,overview,2022-02-13,18423910
K02000001,United Kingdom,overview,2022-02-12,18382396
K02000001,United Kingdom,overview,2022-02-11,18345145
K02000001,United Kingdom,overview,2022-02-10,18300894
K02000001,United Kingdom,overview,2022-02-09,18249032
K02000001,United Kingdom,overview,2022-02-08,18185311
K02000001,United Kingdom,overview,2022-02-07,18116378
K02000001,United Kingdom,overview,2022-02-06,18040496
K02000001,United Kingdom,overview,2022-02-05,17980288
K02000001,United Kingdom,overview,2022-02-04,17928285
K02000001,United Kingdom,overview,2022-02-03,17865291
K02000001,United Kingdom,overview,2022-02-02,17788876
K02000001,United Kingdom,overview,2022-02-01,17700792
K02000001,United Kingdom,overview,2022-01-31,17607442
K02000001,United Kingdom,overview,2022-01-30,17502762
K02000001,United Kingdom,overview,2022-01-29,17415450
K02000001,United Kingdom,overview,2022-01-28,17342175
K02000001,United Kingdom,overview,2022-01-27,17258306
K02000001,United Kingdom,overview,2022-01-26,17162351
K02000001,United Kingdom,overview,2022-01-25,17053939
K02000001,United Kingdom,overview,2022-01-24,16941034
K02000001,United Kingdom,overview,2022-01-23,16814013
K02000001,United Kingdom,overview,2022-01-22,16711889
K02000001,United Kingdom,overview,2022-01-21,16630385
K02000001,United Kingdom,overview,2022-01-20,16539049
K02000001,United Kingdom,overview,2022-01-19,16438960
K02000001,United Kingdom,overview,2022-01-18,16327512
K02000001,United Kingdom,overview,2022-01-17,16209033
K02000001,United Kingdom,overview,2022-01-16,16077853
K02000001,United Kingdom,overview,2022-01-15,15980064
K02000001,United Kingdom,overview,2022-01-14,15902312
K02000001,United Kingdom,overview,2022-01-13,15816257
K02000001,United Kingdom,overview,2022-01-12,15720122
K02000001,United Kingdom,overview,2022-01-11,15617167
K02000001,United Kingdom,overview,2022-01-10,15502139
K02000001,United Kingdom,overview,2022-01-09,15369675
K02000001,United Kingdom,overview,2022-01-08,15274180
K02000001,United Kingdom,overview,2022-01-07,15180774
K02000001,United Kingdom,overview,2022-01-06,15060764
K02000001,United Kingdom,overview,2022-01-05,14888104
K02000001,United Kingdom,overview,2022-01-04,14666239
K02000001,United Kingdom,overview,2022-01-03,14390701
K02000001,United Kingdom,overview,2022-01-02,14160934
