areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,2022-03-03,162007
K02000001,United Kingdom,overview,2022-03-02,161992
K02000001,United Kingdom,overview,2022-03-01,161942
K02000001,United Kingdom,overview,2022-02-28,161872
K02000001,United Kingdom,overview,2022-02-27,161794
K02000001,United Kingdom,overview,2022-02-26,161706
K02000001,United Kingdom,overview,2022-02-25,161629
K02000001,United Kingdom,overview,2022-02-24,161539
K02000001,United Kingdom,overview,2022-02-23,161431
K02000001,United Kingdom,overview,2022-02-22,161345
K02000001,United Kingdom,overview,2022-02-21,161249
K02000001,United Kingdom,overview,2022-02-20,161142
K02000001,United Kingdom,overview,2022-02-19,161014
K02000001,United Kingdom,overview,2022-02-18,160903
K02000001,United Kingdom,overview,2022-02-17,160790
K02000001,United Kingdom,overview,2022-02-16,160667
K02000001,United Kingdom,overview,2022-02-15,160534
K02000001,United Kingdom,overview,2022-02-14,160386
K02000001,United Kingdom,overview,2022-02-13,160235
K02000001,United Kingdom,overview,2022-02-12,160095
K02000001,United Kingdom,overview,2022-02-11,159951
K02000001,United Kingdom,overview,2022-02-10,159818
K02000001,United Kingdom,overview,2022-02-09,159660
K02000001,United Kingdom,overview,2022-02-08,159506
K02000001,United Kingdom,overview,2022-02-07,159340
K02000001,United Kingdom,overview,2022-02-06,159175
K02000001,United Kingdom,overview,2022-02-05,158994
K02000001,United Kingdom,overview,2022-02-04,158796
K02000001,United Kingdom,overview,2022-02-03,158619
K02000001,United Kingdom,overview,2022-02-02,158400
K02000001,United Kingdom,overview,2022-02-01,158175
K02000001,United Kingdom,overview,2022-01-31,157920
K02000001,United Kingdom,overview,2022-01-30,157677
K02000001,United Kingdom,overview,2022-01-29,157437
K02000001,United Kingdom,overview,2022-01-28,157177
K02000001,United Kingdom,overview,2022-01-27,156922
K02000001,United Kingdom,overview,2022-01-26,156624
K02000001,United Kingdom,overview,2022-01-25,156364
K02000001,United Kingdom,overview,2022-01-24,156121
K02000001,United Kingdom,overview,2022-01-23,155842
K02000001,United Kingdom,overview,2022-01-22,155588
K02000001,United Kingdom,overview,2022-01-21,155308
K02000001,United Kingdom,overview,2022-01-20,155001
K02000001,United Kingdom,overview,2022-01-19,154748
K02000001,United Kingdom,overview,2022-01-18,154468
K02000001,United Kingdom,overview,2022-01-17,154185
K02000001,United Kingdom,overview,2022-01-16,153891
K02000001,United Kingdom,overview,2022-01-15,153600
K02000001,United Kingdom,overview,2022-01-14,153306
K02000001,United Kingdom,overview,2022-01-13,153031
K02000001,United Kingdom,overview,2022-01-12,152746
K02000001,United Kingdom,overview,2022-01-11,152490
K02000001,United Kingdom,overview,2022-01-10,152222
K02000001,United Kingdom,overview,2022-01-09,151942
K02000001,United Kingdom,overview,2022-01-08,151673
K02000001,United Kingdom,overview,2022-01-07,151432
K02000001,United Kingdom,overview,2022-01-06,151182
K02000001,United Kingdom,overview,2022-01-05,150927
K02000001,United Kingdom,overview,2022-01-04,150715
K02000001,United Kingdom,overview,2022-01-03,150495
K02000001,United Kingdom,overview,2022-01-02,150317
K02000001,United Kingdom,overview,2022-01-01,150139
K02000001,United Kingdom,overview,2021-12-31,149958
K02000001,United Kingdom,overview,2021-12-30,149790
K02000001,United Kingdom,overview,2021-12-29,149600
K02000001,United Kingdom,overview,2021-12-28,149476
K02000001,United Kingdom,overview,2021-12-27,149307
K02000001,United Kingdom,overview,2021-12-26,149167
K02000001,United Kingdom,overview,2021-12-25,149050
K02000001,United Kingdom,overview,2021-12-24,148946
K02000001,United Kingdom,overview,2021-12-23,148819
K02000001,United Kingdom,overview,2021-12-22,148688
K02000001,United Kingdom,overview,2021-12-21,148562
K02000001,United Kingdom,overview,2021-12-20,148462
K02000001,United Kingdom,overview,2021-12-19,148338
K02000001,United Kingdom,overview,2021-12-18,148237
K02000001,United Kingdom,overview,2021-12-17,148129
K02000001,United Kingdom,overview,2021-12-16,148001
K02000001,United Kingdom,overview,2021-12-15,147895
K02000001,United Kingdom,overview,2021-12-14,147783
K02000001,United Kingdom,overview,2021-12-13,147655
K02000001,United Kingdom,overview,2021-12-12,147552
K02000001,United Kingdom,overview,2021-12-11,147431
K02000001,United Kingdom,overview,2021-12-10,147336
K02000001,United Kingdom,overview,2021-12-09,147229
K02000001,United Kingdom,overview,2021-12-08,147104
K02000001,United Kingdom,overview,2021-12-07,146992
K02000001,United Kingdom,overview,2021-12-06,146871
K02000001,United Kingdom,overview,2021-12-05,146733
K02000001,United Kingdom,overview,2021-12-04,146622
K02000001,United Kingdom,overview,2021-12-03,146476
K02000001,United Kingdom,overview,2021-12-02,146346
K02000001,United Kingdom,overview,2021-12-01,146239
K02000001,United Kingdom,overview,2021-11-30,146114
K02000001,United Kingdom,overview,2021-11-29,146018
K02000001,United Kingdom,overview,2021-11-28,145894
K02000001,United Kingdom,overview,2021-11-27,145776
K02000001,United Kingdom,overview,2021-11-26,145669
K02000001,United Kingdom,overview,2021-11-25,145537
K02000001,United Kingdom,overview,2021-11-24,145400
K02000001,United Kingdom,overview,2021-11-23,145284
K02000001,United Kingdom,overview,2021-11-22,145142
K02000001,United Kingdom,overview,2021-11-21,145023
K02000001,United Kingdom,overview,2021-11-20,144918
K02000001,United Kingdom,overview,2021-11-19,144788
K02000001,United Kingdom,overview,2021-11-18,144664
K02000001,United Kingdom,overview,2021-11-17,144528
K02000001,United Kingdom,overview,2021-11-16,144402
K02000001,United Kingdom,overview,2021-11-15,144249
K02000001,United Kingdom,overview,2021-11-14,144075
K02000001,United Kingdom,overview,2021-11-13,143949
K02000001,United Kingdom,overview,2021-11-12,143814
K02000001,United Kingdom,overview,2021-11-11,143665
K02000001,United Kingdom,overview,2021-11-10,143522
K02000001,United Kingdom,overview,2021-11-09,143374
K02000001,United Kingdom,overview,2021-11-08,143225
K02000001,United Kingdom,overview,2021-11-07,143069
K02000001,United Kingdom,overview,2021-11-06,142901
K02000001,United Kingdom,overview,2021-11-05,142733
K02000001,United Kingdom,overview,2021-11-04,142575
K02000001,United Kingdom,overview,2021-11-03,142419
K02000001,United Kingdom,overview,2021-11-02,142254
K02000001,United Kingdom,overview,2021-11-01,142096
K02000001,United Kingdom,overview,2021-10-31,141919
K02000001,United Kingdom,overview,2021-10-30,141731
K02000001,United Kingdom,overview,2021-10-29,141562
K02000001,United Kingdom,overview,2021-10-28,141391
K02000001,United Kingdom,overview,2021-10-27,141198
K02000001,United Kingdom,overview,2021-10-26,141037
K02000001,United Kingdom,overview,2021-10-25,140873
K02000001,United Kingdom,overview,2021-10-24,140739
K02000001,United Kingdom,overview,2021-10-23,140587
K02000001,United Kingdom,overview,2021-10-22,140422
K02000001,United Kingdom,overview,2021-10-21,140286
K02000001,United Kingdom,overview,2021-10-20,140128
K02000001,United Kingdom,overview,2021-10-19,139974
K02000001,United Kingdom,overview,2021-10-18,139846
K02000001,United Kingdom,overview,2021-10-17,139719
K02000001,United Kingdom,overview,2021-10-16,139590
K02000001,United Kingdom,overview,2021-10-15,139457
K02000001,United Kingdom,overview,2021-10-14,139318
K02000001,United Kingdom,overview,2021-10-13,139169
K02000001,United Kingdom,overview,2021-10-12,139048
K02000001,United Kingdom,overview,2021-10-11,138933
K02000001,United Kingdom,overview,2021-10-10,138808
K02000001,United Kingdom,overview,2021-10-09,138712
K02000001,United Kingdom,overview,2021-10-08,138595
K02000001,United Kingdom,overview,2021-10-07,138475
K02000001,United Kingdom,overview,2021-10-06,138352
K02000001,United Kingdom,overview,2021-10-05,138249
K02000001,United Kingdom,overview,2021-10-04,138129
K02000001,United Kingdom,overview,2021-10-03,138026
K02000001,United Kingdom,overview,2021-10-02,137929
K02000001,United Kingdom,overview,2021-10-01,137819
K02000001,United Kingdom,overview,2021-09-30,137690
K02000001,United Kingdom,overview,2021-09-29,137577
K02000001,United Kingdom,overview,2021-09-28,137452
K02000001,United Kingdom,overview,2021-09-27,137344
K02000001,United Kingdom,overview,2021-09-26,137228
K02000001,United Kingdom,overview,2021-09-25,137131
K02000001,United Kingdom,overview,2021-09-24,137006
K02000001,United Kingdom,overview,2021-09-23,136881
K02000001,United Kingdom,overview,2021-09-22,136742
K02000001,United Kingdom,overview,2021-09-21,136591
K02000001,United Kingdom,overview,2021-09-20,136470
K02000001,United Kingdom,overview,2021-09-19,136332
K02000001,United Kingdom,overview,2021-09-18,136207
K02000001,United Kingdom,overview,2021-09-17,136084
K02000001,United Kingdom,overview,2021-09-16,135907
K02000001,United Kingdom,overview,2021-09-15,135756
K02000001,United Kingdom,overview,2021-09-14,135611
K02000001,United Kingdom,overview,2021-09-13,135457
K02000001,United Kingdom,overview,2021-09-12,135347
K02000001,United Kingdom,overview,2021-09-11,135204
K02000001,United Kingdom,overview,2021-09-10,135066
K02000001,United Kingdom,overview,2021-09-09,134920
K02000001,United Kingdom,overview,2021-09-08,134754
K02000001,United Kingdom,overview,2021-09-07,134613
K02000001,United Kingdom,overview,2021-09-06,134458
K02000001,United Kingdom,overview,2021-09-05,134319
K02000001,United Kingdom,overview,2021-09-04,134162
K02000001,United Kingdom,overview,2021-09-03,134028
K02000001,United Kingdom,overview,2021-09-02,133881
K02000001,United Kingdom,overview,2021-09-01,133752
K02000001,United Kingdom,overview,2021-08-31,133634
K02000001,United Kingdom,overview,2021-08-30,133517
K02000001,United Kingdom,overview,2021-08-29,133410
K02000001,United Kingdom,overview,2021-08-28,133281
K02000001,United Kingdom,overview,2021-08-27,133155
K02000001,United Kingdom,overview,2021-08-26,133027
K02000001,United Kingdom,overview,2021-08-25,132911
K02000001,United Kingdom,overview,2021-08-24,132808
K02000001,United Kingdom,overview,2021-08-23,132694
K02000001,United Kingdom,overview,2021-08-22,132578
K02000001,United Kingdom,overview,2021-08-21,132459
K02000001,United Kingdom,overview,2021-08-20,132353
K02000001,United Kingdom,overview,2021-08-19,132235
K02000001,United Kingdom,overview,2021-08-18,132126
