areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2022-03-03,23726
K02000001,United Kingdom,overview,2022-03-02,43923
K02000001,United Kingdom,overview,2022-03-01,43878
K02000001,United Kingdom,overview,2022-02-28,44073
K02000001,United Kingdom,overview,2022-02-27,31063
K02000001,United Kingdom,overview,2022-02-26,24746
K02000001,United Kingdom,overview,2022-02-25,27524
K02000001,United Kingdom,overview,2022-02-24,30218
K02000001,United Kingdom,overview,2022-02-23,36019
K02000001,United Kingdom,overview,2022-02-22,38749
K02000001,United Kingdom,overview,2022-02-21,44835
K02000001,United Kingdom,overview,2022-02-20,37423
K02000001,United Kingdom,overview,2022-02-19,34428
K02000001,United Kingdom,overview,2022-02-18,32948
K02000001,United Kingdom,overview,2022-02-17,44354
K02000001,United Kingdom,overview,2022-02-16,51064
K02000001,United Kingdom,overview,2022-02-15,52019
K02000001,United Kingdom,overview,2022-02-14,54281
K02000001,United Kingdom,overview,2022-02-13,41514
K02000001,United Kingdom,overview,2022-02-12,37251
K02000001,United Kingdom,overview,2022-02-11,44251
K02000001,United Kingdom,overview,2022-02-10,51862
K02000001,United Kingdom,overview,2022-02-09,63721
K02000001,United Kingdom,overview,2022-02-08,68933
K02000001,United Kingdom,overview,2022-02-07,75882
K02000001,United Kingdom,overview,2022-02-06,60208
K02000001,United Kingdom,overview,2022-02-05,52003
K02000001,United Kingdom,overview,2022-02-04,62994
K02000001,United Kingdom,overview,2022-02-03,76415
K02000001,United Kingdom,overview,2022-02-02,88084
K02000001,United Kingdom,overview,2022-02-01,93350
K02000001,United Kingdom,overview,2022-01-31,104680
K02000001,United Kingdom,overview,2022-01-30,87312
K02000001,United Kingdom,overview,2022-01-29,73275
K02000001,United Kingdom,overview,2022-01-28,83869
K02000001,United Kingdom,overview,2022-01-27,95955
K02000001,United Kingdom,overview,2022-01-26,108412
K02000001,United Kingdom,overview,2022-01-25,112905
K02000001,United Kingdom,overview,2022-01-24,127021
K02000001,United Kingdom,overview,2022-01-23,102124
