areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,2022-03-03,15
K02000001,United Kingdom,overview,2022-03-02,50
K02000001,United Kingdom,overview,2022-03-01,70
K02000001,United Kingdom,overview,2022-02-28,78
K02000001,United Kingdom,overview,2022-02-27,88
K02000001,United Kingdom,overview,2022-02-26,77
K02000001,United Kingdom,overview,2022-02-25,90
K02000001,United Kingdom,overview,2022-02-24,108
K02000001,United Kingdom,overview,2022-02-23,86
K02000001,United Kingdom,overview,2022-02-22,96
K02000001,United Kingdom,overview,2022-02-21,107
K02000001,United Kingdom,overview,2022-02-20,128
K02000001,United Kingdom,overview,2022-02-19,111
K02000001,United Kingdom,overview,2022-02-18,113
K02000001,United Kingdom,overview,2022-02-17,123
K02000001,United Kingdom,overview,2022-02-16,133
K02000001,United Kingdom,overview,2022-02-15,148
K02000001,United Kingdom,overview,2022-02-14,151
K02000001,United Kingdom,overview,2022-02-13,140
K02000001,United Kingdom,overview,2022-02-12,144
K02000001,United Kingdom,overview,2022-02-11,133
K02000001,United Kingdom,overview,2022-02-10,158
K02000001,United Kingdom,overview,2022-02-09,154
K02000001,United Kingdom,overview,2022-02-08,166
K02000001,United Kingdom,overview,2022-02-07,165
K02000001,United Kingdom,overview,2022-02-06,181
K02000001,United Kingdom,overview,2022-02-05,198
K02000001,United Kingdom,overview,2022-02-04,177
K02000001,United Kingdom,overview,2022-02-03,219
K02000001,United Kingdom,overview,2022-02-02,225
K02000001,United Kingdom,overview,2022-02-01,255
K02000001,United Kingdom,overview,2022-01-31,243
K02000001,United Kingdom,overview,2022-01-30,240
K02000001,United Kingdom,overview,2022-01-29,260
K02000001,United Kingdom,overview,2022-01-28,255
K02000001,United Kingdom,overview,2022-01-27,298
K02000001,United Kingdom,overview,2022-01-26,260
K02000001,United Kingdom,overview,2022-01-25,243
K02000001,United Kingdom,overview,2022-01-24,279
K02000001,United Kingdom,overview,2022-01-23,254
K02000001,United Kingdom,overview,2022-01-22,280
K02000001,United Kingdom,overview,2022-01-21,307
K02000001,United Kingdom,overview,2022-01-20,253
K02000001,United Kingdom,overview,2022-01-19,280
K02000001,United Kingdom,overview,2022-01-18,283
K02000001,United Kingdom,overview,2022-01-17,294
K02000001,United Kingdom,overview,2022-01-16,291
K02000001,United Kingdom,overview,2022-01-15,294
K02000001,United Kingdom,overview,2022-01-14,275
K02000001,United Kingdom,overview,2022-01-13,285
K02000001,United Kingdom,overview,2022-01-12,256
K02000001,United Kingdom,overview,2022-01-11,268
K02000001,United Kingdom,overview,2022-01-10,280
K02000001,United Kingdom,overview,2022-01-09,269
K02000001,United Kingdom,overview,2022-01-08,241
K02000001,United Kingdom,overview,2022-01-07,250
K02000001,United Kingdom,overview,2022-01-06,255
K02000001,United Kingdom,overview,2022-01-05,212
K02000001,United Kingdom,overview,2022-01-04,220
K02000001,United Kingdom,overview,2022-01-03,178
K02000001,United Kingdom,overview,2022-01-02,178
K02000001,United Kingdom,overview,2022-01-01,181
K02000001,United Kingdom,overview,2021-12-31,168
K02000001,United Kingdom,overview,2021-12-30,190
K02000001,United Kingdom,overview,2021-12-29,124
K02000001,United Kingdom,overview,2021-12-28,169
K02000001,United Kingdom,overview,2021-12-27,140
K02000001,United Kingdom,overview,2021-12-26,117
K02000001,United Kingdom,overview,2021-12-25,104
K02000001,United Kingdom,overview,2021-12-24,127
K02000001,United Kingdom,overview,2021-12-23,131
K02000001,United Kingdom,overview,2021-12-22,126
K02000001,United Kingdom,overview,2021-12-21,100
K02000001,United Kingdom,overview,2021-12-20,124
K02000001,United Kingdom,overview,2021-12-19,101
K02000001,United Kingdom,overview,2021-12-18,108
K02000001,United Kingdom,overview,2021-12-17,128
K02000001,United Kingdom,overview,2021-12-16,106
K02000001,United Kingdom,overview,2021-12-15,112
K02000001,United Kingdom,overview,2021-12-14,128
K02000001,United Kingdom,overview,2021-12-13,103
K02000001,United Kingdom,overview,2021-12-12,121
K02000001,United Kingdom,overview,2021-12-11,95
K02000001,United Kingdom,overview,2021-12-10,107
K02000001,United Kingdom,overview,2021-12-09,125
K02000001,United Kingdom,overview,2021-12-08,112
K02000001,United Kingdom,overview,2021-12-07,121
K02000001,United Kingdom,overview,2021-12-06,138
K02000001,United Kingdom,overview,2021-12-05,111
K02000001,United Kingdom,overview,2021-12-04,146
K02000001,United Kingdom,overview,2021-12-03,130
K02000001,United Kingdom,overview,2021-12-02,107
K02000001,United Kingdom,overview,2021-12-01,125
K02000001,United Kingdom,overview,2021-11-30,96
K02000001,United Kingdom,overview,2021-11-29,124
K02000001,United Kingdom,overview,2021-11-28,118
K02000001,United Kingdom,overview,2021-11-27,107
K02000001,United Kingdom,overview,2021-11-26,132
K02000001,United Kingdom,overview,2021-11-25,137
K02000001,United Kingdom,overview,2021-11-24,116
K02000001,United Kingdom,overview,2021-11-23,142
K02000001,United Kingdom,overview,2021-11-22,119
K02000001,United Kingdom,overview,2021-11-21,105
K02000001,United Kingdom,overview,2021-11-20,130
K02000001,United Kingdom,overview,2021-11-19,124
K02000001,United Kingdom,overview,2021-11-18,136
K02000001,United Kingdom,overview,2021-11-17,126
K02000001,United Kingdom,overview,2021-11-16,153
K02000001,United Kingdom,overview,2021-11-15,174
K02000001,United Kingdom,overview,2021-11-14,126
K02000001,United Kingdom,overview,2021-11-13,135
K02000001,United Kingdom,overview,2021-11-12,149
K02000001,United Kingdom,overview,2021-11-11,143
K02000001,United Kingdom,overview,2021-11-10,148
K02000001,United Kingdom,overview,2021-11-09,149
K02000001,United Kingdom,overview,2021-11-08,156
K02000001,United Kingdom,overview,2021-11-07,168
K02000001,United Kingdom,overview,2021-11-06,168
K02000001,United Kingdom,overview,2021-11-05,158
K02000001,United Kingdom,overview,2021-11-04,156
K02000001,United Kingdom,overview,2021-11-03,165
K02000001,United Kingdom,overview,2021-11-02,158
K02000001,United Kingdom,overview,2021-11-01,177
K02000001,United Kingdom,overview,2021-10-31,188
K02000001,United Kingdom,overview,2021-10-30,169
K02000001,United Kingdom,overview,2021-10-29,171
K02000001,United Kingdom,overview,2021-10-28,193
