areaCode,areaName,areaType,date,cumCasesBySpecimenDate
K02000001,United Kingdom,overview,2022-03-09,19457976
K02000001,United Kingdom,overview,2022-03-08,19417839
K02000001,United Kingdom,overview,2022-03-07,19351784
K02000001,United Kingdom,overview,2022-03-06,19284140
K02000001,United Kingdom,overview,2022-03-05,19235331
K02000001,United Kingdom,overview,2022-03-04,19196768
K02000001,United Kingdom,overview,2022-03-03,19155530
K02000001,United Kingdom,overview,2022-03-02,19111942
K02000001,United Kingdom,overview,2022-03-01,19065893
K02000001,United Kingdom,overview,2022-02-28,19021239
K02000001,United Kingdom,overview,2022-02-27,18976660
K02000001,United Kingdom,overview,2022-02-26,18945327
K02000001,United Kingdom,overview,2022-02-25,18920290
K02000001,United Kingdom,overview,2022-02-24,18892550
K02000001,United Kingdom,overview,2022-02-23,18862089
K02000001,United Kingdom,overview,2022-02-22,18825806
K02000001,United Kingdom,overview,2022-02-21,18786796
K02000001,United Kingdom,overview,2022-02-20,18741747
K02000001,United Kingdom,overview,2022-02-19,18704101
K02000001,United Kingdom,overview,2022-02-18,18669526
K02000001,United Kingdom,overview,2022-02-17,18636345
K02000001,United Kingdom,overview,2022-02-16,18591816
K02000001,United Kingdom,overview,2022-02-15,18540514
K02000001,United Kingdom,overview,2022-02-14,18488219
K02000001,United Kingdom,overview,2022-02-13,18433680
K02000001,United Kingdom,overview,2022-02-12,18391941
K02000001,United Kingdom,overview,2022-02-11,18354508
K02000001,United Kingdom,overview,2022-02-10,18310067
K02000001,United Kingdom,overview,2022-02-09,18257993
K02000001,United Kingdom,overview,2022-02-08,18194018
K02000001,United Kingdom,overview,2022-02-07,18124833
K02000001,United Kingdom,overview,2022-02-06,18048732
K02000001,United Kingdom,overview,2022-02-05,17988312
K02000001,United Kingdom,overview,2022-02-04,17936147
K02000001,United Kingdom,overview,2022-02-03,17873025
K02000001,United Kingdom,overview,2022-02-02,17796470
K02000001,United Kingdom,overview,2022-02-01,17708164
K02000001,United Kingdom,overview,2022-01-31,17614574
K02000001,United Kingdom,overview,2022-01-30,17509694
K02000001,United Kingdom,overview,2022-01-29,17422184
K02000001,United Kingdom,overview,2022-01-28,17348725
K02000001,United Kingdom,overview,2022-01-27,17264741
K02000001,United Kingdom,overview,2022-01-26,17168611
K02000001,United Kingdom,overview,2022-01-25,17059985
K02000001,United Kingdom,overview,2022-01-24,16946873
K02000001,United Kingdom,overview,2022-01-23,16819642
K02000001,United Kingdom,overview,2022-01-22,16717343
K02000001,United Kingdom,overview,2022-01-21,16635701
K02000001,United Kingdom,overview,2022-01-20,16544204
K02000001,United Kingdom,overview,2022-01-19,16443987
K02000001,United Kingdom,overview,2022-01-18,16332342
K02000001,United Kingdom,overview,2022-01-17,16213674
K02000001,United Kingdom,overview,2022-01-16,16082308
K02000001,United Kingdom,overview,2022-01-15,15984322
K02000001,United Kingdom,overview,2022-01-14,15906466
K02000001,United Kingdom,overview,2022-01-13,15820249
K02000001,United Kingdom,overview,2022-01-12,15723943
K02000001,United Kingdom,overview,2022-01-11,15620809
K02000001,United Kingdom,overview,2022-01-10,15505646
K02000001,United Kingdom,overview,2022-01-09,15372992
K02000001,United Kingdom,overview,2022-01-08,15277304
K02000001,United Kingdom,overview,2022-01-07,15183760
K02000001,United Kingdom,overview,2022-01-06,15063593
K02000001,United Kingdom,overview,2022-01-05,14890821
K02000001,United Kingdom,overview,2022-01-04,14668835
K02000001,United Kingdom,overview,2022-01-03,14393291
K02000001,United Kingdom,overview,2022-01-02,14163488
K02000001,United Kingdom,overview,2022-01-01,13982487
K02000001,United Kingdom,overview,2021-12-31,13864314
K02000001,United Kingdom,overview,2021-12-30,13675802
K02000001,United Kingdom,overview,2021-12-29,13439316
K02000001,United Kingdom,overview,2021-12-28,13166603
K02000001,United Kingdom,overview,2021-12-27,12954182
K02000001,United Kingdom,overview,2021-12-26,12759227
K02000001,United Kingdom,overview,2021-12-25,12642964
K02000001,United Kingdom,overview,2021-12-24,12572609
K02000001,United Kingdom,overview,2021-12-23,12435370
K02000001,United Kingdom,overview,2021-12-22,12274927
K02000001,United Kingdom,overview,2021-12-21,12113565
K02000001,United Kingdom,overview,2021-12-20,11963317
K02000001,United Kingdom,overview,2021-12-19,11829408
K02000001,United Kingdom,overview,2021-12-18,11740310
K02000001,United Kingdom,overview,2021-12-17,11651444
K02000001,United Kingdom,overview,2021-12-16,11555581
K02000001,United Kingdom,overview,2021-12-15,11449551
K02000001,United Kingdom,overview,2021-12-14,11336889
K02000001,United Kingdom,overview,2021-12-13,11234137
K02000001,United Kingdom,overview,2021-12-12,11146990
K02000001,United Kingdom,overview,2021-12-11,11093853
K02000001,United Kingdom,overview,2021-12-10,11045261
K02000001,United Kingdom,overview,2021-12-09,10992787
K02000001,United Kingdom,overview,2021-12-08,10935812
K02000001,United Kingdom,overview,2021-12-07,10876936
K02000001,United Kingdom,overview,2021-12-06,10820709
K02000001,United Kingdom,overview,2021-12-05,10761048
K02000001,United Kingdom,overview,2021-12-04,10720035
K02000001,United Kingdom,overview,2021-12-03,10681256
K02000001,United Kingdom,overview,2021-12-02,10635597
K02000001,United Kingdom,overview,2021-12-01,10585296
K02000001,United Kingdom,overview,2021-11-30,10530488
K02000001,United Kingdom,overview,2021-11-29,10474803
K02000001,United Kingdom,overview,2021-11-28,10418520
K02000001,United Kingdom,overview,2021-11-27,10378830
K02000001,United Kingdom,overview,2021-11-26,10345540
K02000001,United Kingdom,overview,2021-11-25,10306216
K02000001,United Kingdom,overview,2021-11-24,10262807
K02000001,United Kingdom,overview,2021-11-23,10216048
K02000001,United Kingdom,overview,2021-11-22,10167868
K02000001,United Kingdom,overview,2021-11-21,10117149
K02000001,United Kingdom,overview,2021-11-20,10079904
K02000001,United Kingdom,overview,2021-11-19,10044578
K02000001,United Kingdom,overview,2021-11-18,10004989
K02000001,United Kingdom,overview,2021-11-17,9960936
K02000001,United Kingdom,overview,2021-11-16,9915046
K02000001,United Kingdom,overview,2021-11-15,9868631
K02000001,United Kingdom,overview,2021-11-14,9817687
K02000001,United Kingdom,overview,2021-11-13,9782181
K02000001,United Kingdom,overview,2021-11-12,9749303
K02000001,United Kingdom,overview,2021-11-11,9711546
K02000001,United Kingdom,overview,2021-11-10,9670561
K02000001,United Kingdom,overview,2021-11-09,9627635
K02000001,United Kingdom,overview,2021-11-08,9585399
K02000001,United Kingdom,overview,2021-11-07,9541279
K02000001,United Kingdom,overview,2021-11-06,9510697
K02000001,United Kingdom,overview,2021-11-05,9483256
K02000001,United Kingdom,overview,2021-11-04,9452933
K02000001,United Kingdom,overview,2021-11-03,9419283
K02000001,United Kingdom,overview,2021-11-02,9383311
K02000001,United Kingdom,overview,2021-11-01,9345301
K02000001,United Kingdom,overview,2021-10-31,9300198
K02000001,United Kingdom,overview,2021-10-30,9265404
K02000001,United Kingdom,overview,2021-10-29,9231848
K02000001,United Kingdom,overview,2021-10-28,9191609
K02000001,United Kingdom,overview,2021-10-27,9150235
K02000001,United Kingdom,overview,2021-10-26,9107201
K02000001,United Kingdom,overview,2021-10-25,9065091
K02000001,United Kingdom,overview,2021-10-24,9017644
K02000001,United Kingdom,overview,2021-10-23,8981888
K02000001,United Kingdom,overview,2021-10-22,8946792
K02000001,United Kingdom,overview,2021-10-21,8906135
K02000001,United Kingdom,overview,2021-10-20,8860941
K02000001,United Kingdom,overview,2021-10-19,8809291
K02000001,United Kingdom,overview,2021-10-18,8756780
K02000001,United Kingdom,overview,2021-10-17,8699053
K02000001,United Kingdom,overview,2021-10-16,8655307
K02000001,United Kingdom,overview,2021-10-15,8617437
K02000001,United Kingdom,overview,2021-10-14,8573892
K02000001,United Kingdom,overview,2021-10-13,8527481
K02000001,United Kingdom,overview,2021-10-12,8479715
K02000001,United Kingdom,overview,2021-10-11,8431418
K02000001,United Kingdom,overview,2021-10-10,8381133
K02000001,United Kingdom,overview,2021-10-09,8344726
K02000001,United Kingdom,overview,2021-10-08,8312430
K02000001,United Kingdom,overview,2021-10-07,8276833
K02000001,United Kingdom,overview,2021-10-06,8238372
K02000001,United Kingdom,overview,2021-10-05,8199117
K02000001,United Kingdom,overview,2021-10-04,8159856
K02000001,United Kingdom,overview,2021-10-03,8116128
K02000001,United Kingdom,overview,2021-10-02,8084077
K02000001,United Kingdom,overview,2021-10-01,8057769
K02000001,United Kingdom,overview,2021-09-30,8028718
K02000001,United Kingdom,overview,2021-09-29,7996130
K02000001,United Kingdom,overview,2021-09-28,7961311
K02000001,United Kingdom,overview,2021-09-27,7924771
K02000001,United Kingdom,overview,2021-09-26,7883190
K02000001,United Kingdom,overview,2021-09-25,7851125
K02000001,United Kingdom,overview,2021-09-24,7822563
K02000001,United Kingdom,overview,2021-09-23,7790469
K02000001,United Kingdom,overview,2021-09-22,7754631
