areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,2022-03-09,162623
K02000001,United Kingdom,overview,2022-03-08,162609
K02000001,United Kingdom,overview,2022-03-07,162550
K02000001,United Kingdom,overview,2022-03-06,162480
K02000001,United Kingdom,overview,2022-03-05,162412
K02000001,United Kingdom,overview,2022-03-04,162336
K02000001,United Kingdom,overview,2022-03-03,162262
K02000001,United Kingdom,overview,2022-03-02,162161
K02000001,United Kingdom,overview,2022-03-01,162060
K02000001,United Kingdom,overview,2022-02-28,161965
K02000001,United Kingdom,overview,2022-02-27,161870
K02000001,United Kingdom,overview,2022-02-26,161775
K02000001,United Kingdom,overview,2022-02-25,161683
K02000001,United Kingdom,overview,2022-02-24,161583
K02000001,United Kingdom,overview,2022-02-23,161467
K02000001,United Kingdom,overview,2022-02-22,161376
K02000001,United Kingdom,overview,2022-02-21,161277
K02000001,United Kingdom,overview,2022-02-20,161171
K02000001,United Kingdom,overview,2022-02-19,161041
K02000001,United Kingdom,overview,2022-02-18,160929
K02000001,United Kingdom,overview,2022-02-17,160812
K02000001,United Kingdom,overview,2022-02-16,160689
K02000001,United Kingdom,overview,2022-02-15,160554
K02000001,United Kingdom,overview,2022-02-14,160407
K02000001,United Kingdom,overview,2022-02-13,160254
K02000001,United Kingdom,overview,2022-02-12,160114
K02000001,United Kingdom,overview,2022-02-11,159970
K02000001,United Kingdom,overview,2022-02-10,159836
K02000001,United Kingdom,overview,2022-02-09,159676
K02000001,United Kingdom,overview,2022-02-08,159520
K02000001,United Kingdom,overview,2022-02-07,159354
K02000001,United Kingdom,overview,2022-02-06,159189
K02000001,United Kingdom,overview,2022-02-05,159008
K02000001,United Kingdom,overview,2022-02-04,158810
K02000001,United Kingdom,overview,2022-02-03,158633
K02000001,United Kingdom,overview,2022-02-02,158414
K02000001,United Kingdom,overview,2022-02-01,158189
K02000001,United Kingdom,overview,2022-01-31,157932
K02000001,United Kingdom,overview,2022-01-30,157688
K02000001,United Kingdom,overview,2022-01-29,157447
K02000001,United Kingdom,overview,2022-01-28,157187
K02000001,United Kingdom,overview,2022-01-27,156932
K02000001,United Kingdom,overview,2022-01-26,156633
K02000001,United Kingdom,overview,2022-01-25,156373
K02000001,United Kingdom,overview,2022-01-24,156130
K02000001,United Kingdom,overview,2022-01-23,155850
K02000001,United Kingdom,overview,2022-01-22,155596
K02000001,United Kingdom,overview,2022-01-21,155316
K02000001,United Kingdom,overview,2022-01-20,155009
K02000001,United Kingdom,overview,2022-01-19,154756
K02000001,United Kingdom,overview,2022-01-18,154476
K02000001,United Kingdom,overview,2022-01-17,154193
K02000001,United Kingdom,overview,2022-01-16,153899
K02000001,United Kingdom,overview,2022-01-15,153607
K02000001,United Kingdom,overview,2022-01-14,153313
K02000001,United Kingdom,overview,2022-01-13,153038
K02000001,United Kingdom,overview,2022-01-12,152753
K02000001,United Kingdom,overview,2022-01-11,152496
K02000001,United Kingdom,overview,2022-01-10,152227
K02000001,United Kingdom,overview,2022-01-09,151947
K02000001,United Kingdom,overview,2022-01-08,151678
K02000001,United Kingdom,overview,2022-01-07,151436
K02000001,United Kingdom,overview,2022-01-06,151186
K02000001,United Kingdom,overview,2022-01-05,150931
K02000001,United Kingdom,overview,2022-01-04,150719
K02000001,United Kingdom,overview,2022-01-03,150499
K02000001,United Kingdom,overview,2022-01-02,150321
K02000001,United Kingdom,overview,2022-01-01,150143
K02000001,United Kingdom,overview,2021-12-31,149962
K02000001,United Kingdom,overview,2021-12-30,149794
K02000001,United Kingdom,overview,2021-12-29,149604
K02000001,United Kingdom,overview,2021-12-28,149480
K02000001,United Kingdom,overview,2021-12-27,149311
K02000001,United Kingdom,overview,2021-12-26,149171
K02000001,United Kingdom,overview,2021-12-25,149054
K02000001,United Kingdom,overview,2021-12-24,148950
K02000001,United Kingdom,overview,2021-12-23,148823
K02000001,United Kingdom,overview,2021-12-22,148692
K02000001,United Kingdom,overview,2021-12-21,148566
K02000001,United Kingdom,overview,2021-12-20,148466
K02000001,United Kingdom,overview,2021-12-19,148342
K02000001,United Kingdom,overview,2021-12-18,148241
K02000001,United Kingdom,overview,2021-12-17,148133
K02000001,United Kingdom,overview,2021-12-16,148005
K02000001,United Kingdom,overview,2021-12-15,147900
K02000001,United Kingdom,overview,2021-12-14,147787
K02000001,United Kingdom,overview,2021-12-13,147659
