areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2022-03-09,40137
K02000001,United Kingdom,overview,2022-03-08,66055
K02000001,United Kingdom,overview,2022-03-07,67644
K02000001,United Kingdom,overview,2022-03-06,48809
K02000001,United Kingdom,overview,2022-03-05,38563
K02000001,United Kingdom,overview,2022-03-04,41238
K02000001,United Kingdom,overview,2022-03-03,43588
K02000001,United Kingdom,overview,2022-03-02,46049
K02000001,United Kingdom,overview,2022-03-01,44654
K02000001,United Kingdom,overview,2022-02-28,44579
K02000001,United Kingdom,overview,2022-02-27,31333
K02000001,United Kingdom,overview,2022-02-26,25037
K02000001,United Kingdom,overview,2022-02-25,27740
K02000001,United Kingdom,overview,2022-02-24,30461
K02000001,United Kingdom,overview,2022-02-23,36283
K02000001,United Kingdom,overview,2022-02-22,39010
K02000001,United Kingdom,overview,2022-02-21,45049
K02000001,United Kingdom,overview,2022-02-20,37646
K02000001,United Kingdom,overview,2022-02-19,34575
K02000001,United Kingdom,overview,2022-02-18,33181
K02000001,United Kingdom,overview,2022-02-17,44529
K02000001,United Kingdom,overview,2022-02-16,51302
K02000001,United Kingdom,overview,2022-02-15,52295
K02000001,United Kingdom,overview,2022-02-14,54539
K02000001,United Kingdom,overview,2022-02-13,41739
K02000001,United Kingdom,overview,2022-02-12,37433
K02000001,United Kingdom,overview,2022-02-11,44441
K02000001,United Kingdom,overview,2022-02-10,52074
K02000001,United Kingdom,overview,2022-02-09,63975
K02000001,United Kingdom,overview,2022-02-08,69185
K02000001,United Kingdom,overview,2022-02-07,76101
K02000001,United Kingdom,overview,2022-02-06,60420
K02000001,United Kingdom,overview,2022-02-05,52165
K02000001,United Kingdom,overview,2022-02-04,63122
K02000001,United Kingdom,overview,2022-02-03,76555
K02000001,United Kingdom,overview,2022-02-02,88306
K02000001,United Kingdom,overview,2022-02-01,93590
K02000001,United Kingdom,overview,2022-01-31,104880
K02000001,United Kingdom,overview,2022-01-30,87510
K02000001,United Kingdom,overview,2022-01-29,73459
K02000001,United Kingdom,overview,2022-01-28,83984
K02000001,United Kingdom,overview,2022-01-27,96130
K02000001,United Kingdom,overview,2022-01-26,108626
K02000001,United Kingdom,overview,2022-01-25,113112
K02000001,United Kingdom,overview,2022-01-24,127231
K02000001,United Kingdom,overview,2022-01-23,102299
K02000001,United Kingdom,overview,2022-01-22,81642
K02000001,United Kingdom,overview,2022-01-21,91497
K02000001,United Kingdom,overview,2022-01-20,100217
K02000001,United Kingdom,overview,2022-01-19,111645
K02000001,United Kingdom,overview,2022-01-18,118668
K02000001,United Kingdom,overview,2022-01-17,131366
K02000001,United Kingdom,overview,2022-01-16,97986
K02000001,United Kingdom,overview,2022-01-15,77856
K02000001,United Kingdom,overview,2022-01-14,86217
K02000001,United Kingdom,overview,2022-01-13,96306
K02000001,United Kingdom,overview,2022-01-12,103134
K02000001,United Kingdom,overview,2022-01-11,115163
K02000001,United Kingdom,overview,2022-01-10,132654
K02000001,United Kingdom,overview,2022-01-09,95688
K02000001,United Kingdom,overview,2022-01-08,93544
K02000001,United Kingdom,overview,2022-01-07,120167
K02000001,United Kingdom,overview,2022-01-06,172772
K02000001,United Kingdom,overview,2022-01-05,221986
K02000001,United Kingdom,overview,2022-01-04,275544
K02000001,United Kingdom,overview,2022-01-03,229803
K02000001,United Kingdom,overview,2022-01-02,181001
K02000001,United Kingdom,overview,2022-01-01,118173
K02000001,United Kingdom,overview,2021-12-31,188512
K02000001,United Kingdom,overview,2021-12-30,236486
K02000001,United Kingdom,overview,2021-12-29,272713
K02000001,United Kingdom,overview,2021-12-28,212421
K02000001,United Kingdom,overview,2021-12-27,194955
K02000001,United Kingdom,overview,2021-12-26,116263
K02000001,United Kingdom,overview,2021-12-25,70355
K02000001,United Kingdom,overview,2021-12-24,137239
K02000001,United Kingdom,overview,2021-12-23,160443
K02000001,United Kingdom,overview,2021-12-22,161362
K02000001,United Kingdom,overview,2021-12-21,150248
K02000001,United Kingdom,overview,2021-12-20,133909
K02000001,United Kingdom,overview,2021-12-19,89098
K02000001,United Kingdom,overview,2021-12-18,88866
K02000001,United Kingdom,overview,2021-12-17,95863
K02000001,United Kingdom,overview,2021-12-16,106030
K02000001,United Kingdom,overview,2021-12-15,112662
K02000001,United Kingdom,overview,2021-12-14,102752
K02000001,United Kingdom,overview,2021-12-13,87147
K02000001,United Kingdom,overview,2021-12-12,53137
K02000001,United Kingdom,overview,2021-12-11,48592
K02000001,United Kingdom,overview,2021-12-10,52474
K02000001,United Kingdom,overview,2021-12-09,56975
K02000001,United Kingdom,overview,2021-12-08,58876
K02000001,United Kingdom,overview,2021-12-07,56227
K02000001,United Kingdom,overview,2021-12-06,59661
K02000001,United Kingdom,overview,2021-12-05,41013
K02000001,United Kingdom,overview,2021-12-04,38779
K02000001,United Kingdom,overview,2021-12-03,45659
K02000001,United Kingdom,overview,2021-12-02,50301
K02000001,United Kingdom,overview,2021-12-01,54808
K02000001,United Kingdom,overview,2021-11-30,55685
K02000001,United Kingdom,overview,2021-11-29,56283
K02000001,United Kingdom,overview,2021-11-28,39690
K02000001,United Kingdom,overview,2021-11-27,33290
K02000001,United Kingdom,overview,2021-11-26,39324
K02000001,United Kingdom,overview,2021-11-25,43409
K02000001,United Kingdom,overview,2021-11-24,46759
K02000001,United Kingdom,overview,2021-11-23,48180
K02000001,United Kingdom,overview,2021-11-22,50719
K02000001,United Kingdom,overview,2021-11-21,37245
K02000001,United Kingdom,overview,2021-11-20,35326
K02000001,United Kingdom,overview,2021-11-19,39589
K02000001,United Kingdom,overview,2021-11-18,44053
K02000001,United Kingdom,overview,2021-11-17,45890
K02000001,United Kingdom,overview,2021-11-16,46415
K02000001,United Kingdom,overview,2021-11-15,50944
K02000001,United Kingdom,overview,2021-11-14,35506
K02000001,United Kingdom,overview,2021-11-13,32878
K02000001,United Kingdom,overview,2021-11-12,37757
K02000001,United Kingdom,overview,2021-11-11,40985
K02000001,United Kingdom,overview,2021-11-10,42926
K02000001,United Kingdom,overview,2021-11-09,42236
K02000001,United Kingdom,overview,2021-11-08,44120
K02000001,United Kingdom,overview,2021-11-07,30582
K02000001,United Kingdom,overview,2021-11-06,27441
K02000001,United Kingdom,overview,2021-11-05,30323
K02000001,United Kingdom,overview,2021-11-04,33650
K02000001,United Kingdom,overview,2021-11-03,35972
K02000001,United Kingdom,overview,2021-11-02,38010
K02000001,United Kingdom,overview,2021-11-01,45103
K02000001,United Kingdom,overview,2021-10-31,34794
K02000001,United Kingdom,overview,2021-10-30,33556
K02000001,United Kingdom,overview,2021-10-29,40239
K02000001,United Kingdom,overview,2021-10-28,41374
K02000001,United Kingdom,overview,2021-10-27,43034
K02000001,United Kingdom,overview,2021-10-26,42110
K02000001,United Kingdom,overview,2021-10-25,47447
K02000001,United Kingdom,overview,2021-10-24,35756
K02000001,United Kingdom,overview,2021-10-23,35096
K02000001,United Kingdom,overview,2021-10-22,40657
K02000001,United Kingdom,overview,2021-10-21,45194
K02000001,United Kingdom,overview,2021-10-20,51650
K02000001,United Kingdom,overview,2021-10-19,52511
K02000001,United Kingdom,overview,2021-10-18,57727
K02000001,United Kingdom,overview,2021-10-17,43746
K02000001,United Kingdom,overview,2021-10-16,37870
K02000001,United Kingdom,overview,2021-10-15,43545
K02000001,United Kingdom,overview,2021-10-14,46411
K02000001,United Kingdom,overview,2021-10-13,47766
K02000001,United Kingdom,overview,2021-10-12,48297
K02000001,United Kingdom,overview,2021-10-11,50285
K02000001,United Kingdom,overview,2021-10-10,36407
K02000001,United Kingdom,overview,2021-10-09,32296
K02000001,United Kingdom,overview,2021-10-08,35597
K02000001,United Kingdom,overview,2021-10-07,38461
K02000001,United Kingdom,overview,2021-10-06,39255
K02000001,United Kingdom,overview,2021-10-05,39261
K02000001,United Kingdom,overview,2021-10-04,43728
K02000001,United Kingdom,overview,2021-10-03,32051
K02000001,United Kingdom,overview,2021-10-02,26308
K02000001,United Kingdom,overview,2021-10-01,29051
K02000001,United Kingdom,overview,2021-09-30,32588
K02000001,United Kingdom,overview,2021-09-29,34819
K02000001,United Kingdom,overview,2021-09-28,36540
K02000001,United Kingdom,overview,2021-09-27,41581
K02000001,United Kingdom,overview,2021-09-26,32065
K02000001,United Kingdom,overview,2021-09-25,28562
K02000001,United Kingdom,overview,2021-09-24,32094
K02000001,United Kingdom,overview,2021-09-23,35838
K02000001,United Kingdom,overview,2021-09-22,36749
K02000001,United Kingdom,overview,2021-09-21,38835
K02000001,United Kingdom,overview,2021-09-20,40755
K02000001,United Kingdom,overview,2021-09-19,31082
K02000001,United Kingdom,overview,2021-09-18,26639
K02000001,United Kingdom,overview,2021-09-17,29463
K02000001,United Kingdom,overview,2021-09-16,29548
K02000001,United Kingdom,overview,2021-09-15,30374
K02000001,United Kingdom,overview,2021-09-14,31417
K02000001,United Kingdom,overview,2021-09-13,34650
K02000001,United Kingdom,overview,2021-09-12,24053
K02000001,United Kingdom,overview,2021-09-11,23531
K02000001,United Kingdom,overview,2021-09-10,29173
K02000001,United Kingdom,overview,2021-09-09,33965
K02000001,United Kingdom,overview,2021-09-08,35840
K02000001,United Kingdom,overview,2021-09-07,38610
K02000001,United Kingdom,overview,2021-09-06,44915
K02000001,United Kingdom,overview,2021-09-05,31799
K02000001,United Kingdom,overview,2021-09-04,31804
K02000001,United Kingdom,overview,2021-09-03,38625
K02000001,United Kingdom,overview,2021-09-02,42310
K02000001,United Kingdom,overview,2021-09-01,43516
K02000001,United Kingdom,overview,2021-08-31,45205
K02000001,United Kingdom,overview,2021-08-30,34754
K02000001,United Kingdom,overview,2021-08-29,26131
K02000001,United Kingdom,overview,2021-08-28,27592
K02000001,United Kingdom,overview,2021-08-27,33733
K02000001,United Kingdom,overview,2021-08-26,37605
K02000001,United Kingdom,overview,2021-08-25,38768
K02000001,United Kingdom,overview,2021-08-24,37670
K02000001,United Kingdom,overview,2021-08-23,39708
K02000001,United Kingdom,overview,2021-08-22,28727
K02000001,United Kingdom,overview,2021-08-21,28515
K02000001,United Kingdom,overview,2021-08-20,32223
K02000001,United Kingdom,overview,2021-08-19,36483
K02000001,United Kingdom,overview,2021-08-18,38736
K02000001,United Kingdom,overview,2021-08-17,37908
K02000001,United Kingdom,overview,2021-08-16,36896
K02000001,United Kingdom,overview,2021-08-15,25322
K02000001,United Kingdom,overview,2021-08-14,25056
K02000001,United Kingdom,overview,2021-08-13,28969
K02000001,United Kingdom,overview,2021-08-12,31721
K02000001,United Kingdom,overview,2021-08-11,33346
K02000001,United Kingdom,overview,2021-08-10,31514
K02000001,United Kingdom,overview,2021-08-09,32159
K02000001,United Kingdom,overview,2021-08-08,22879
K02000001,United Kingdom,overview,2021-08-07,22567
K02000001,United Kingdom,overview,2021-08-06,28058
K02000001,United Kingdom,overview,2021-08-05,31662
K02000001,United Kingdom,overview,2021-08-04,32336
K02000001,United Kingdom,overview,2021-08-03,30444
K02000001,United Kingdom,overview,2021-08-02,29834
K02000001,United Kingdom,overview,2021-08-01,20899
K02000001,United Kingdom,overview,2021-07-31,20568
K02000001,United Kingdom,overview,2021-07-30,24745
K02000001,United Kingdom,overview,2021-07-29,28428
K02000001,United Kingdom,overview,2021-07-28,30235
K02000001,United Kingdom,overview,2021-07-27,29574
K02000001,United Kingdom,overview,2021-07-26,29976
K02000001,United Kingdom,overview,2021-07-25,22173
K02000001,United Kingdom,overview,2021-07-24,22848
K02000001,United Kingdom,overview,2021-07-23,27763
K02000001,United Kingdom,overview,2021-07-22,31274
K02000001,United Kingdom,overview,2021-07-21,35535
K02000001,United Kingdom,overview,2021-07-20,39869
K02000001,United Kingdom,overview,2021-07-19,47910
K02000001,United Kingdom,overview,2021-07-18,36180
K02000001,United Kingdom,overview,2021-07-17,38472
K02000001,United Kingdom,overview,2021-07-16,55264
K02000001,United Kingdom,overview,2021-07-15,61996
K02000001,United Kingdom,overview,2021-07-14,54907
K02000001,United Kingdom,overview,2021-07-13,47702
K02000001,United Kingdom,overview,2021-07-12,44505
K02000001,United Kingdom,overview,2021-07-11,30502
K02000001,United Kingdom,overview,2021-07-10,28373
K02000001,United Kingdom,overview,2021-07-09,32799
K02000001,United Kingdom,overview,2021-07-08,33999
K02000001,United Kingdom,overview,2021-07-07,38594
K02000001,United Kingdom,overview,2021-07-06,36041
K02000001,United Kingdom,overview,2021-07-05,34896
K02000001,United Kingdom,overview,2021-07-04,25154
K02000001,United Kingdom,overview,2021-07-03,24006
K02000001,United Kingdom,overview,2021-07-02,26340
K02000001,United Kingdom,overview,2021-07-01,28794
K02000001,United Kingdom,overview,2021-06-30,28922
K02000001,United Kingdom,overview,2021-06-29,28200
K02000001,United Kingdom,overview,2021-06-28,28418
K02000001,United Kingdom,overview,2021-06-27,18502
K02000001,United Kingdom,overview,2021-06-26,16300
K02000001,United Kingdom,overview,2021-06-25,18169
K02000001,United Kingdom,overview,2021-06-24,18711
K02000001,United Kingdom,overview,2021-06-23,18350
K02000001,United Kingdom,overview,2021-06-22,17403
K02000001,United Kingdom,overview,2021-06-21,16307
K02000001,United Kingdom,overview,2021-06-20,10087
K02000001,United Kingdom,overview,2021-06-19,8445
K02000001,United Kingdom,overview,2021-06-18,10320
K02000001,United Kingdom,overview,2021-06-17,11106
K02000001,United Kingdom,overview,2021-06-16,11051
K02000001,United Kingdom,overview,2021-06-15,10795
K02000001,United Kingdom,overview,2021-06-14,10362
K02000001,United Kingdom,overview,2021-06-13,7134
K02000001,United Kingdom,overview,2021-06-12,6284
K02000001,United Kingdom,overview,2021-06-11,7619
